Registered,Project title,Host parties,Other Parties,Methodology,Reductions,Ref
30/03/2009,"Cangxi Donghe Beituo Hydropower Station ",China,Netherlands,AMS-I.D. ver. 12,30093,2154
30/03/2009,"Cangxi Donghe Dongxi Hydropower Station ",China,Netherlands,AMS-I.D. ver. 12,28780,2069
31/03/2009,"Nimoo-Bazgo Hydroelectric Project",India,,ACM0002 ver. 6,187893,2023
31/03/2009,"Mujiajia Yiji 18.9MW Hydropower Project in Yunnan Province",China,Sweden,ACM0002 ver. 6,60636,2045
31/03/2009,"Anaerobic digestion of animal manure at Farma Andreou & Costi Ltd., Cyprus",Cyprus,Netherlands,AMS-III.D. ver. 13,17474,2329
31/03/2009,"China Hunan Yuzitang Small Hydropower Project",China,Sweden,AMS-I.D. ver. 12,27398,2121
01/04/2009,"Yinshan Profiled Iron Co., Ltd. 25 MW Waste Gas Power Generation Project of Laiwu Iron & Steel Group Corp.",China,Netherlands/ Germany,ACM0004 ver. 2,156471,1658
01/04/2009,"Zhejiang Quzhou Jutai clinker production project by using calcium carbide residue in the raw mix",China,Japan,AM0033 ver. 2,169371,2139
01/04/2009,"Bioenergia Anaerobic Digestion and Biogas Generation Project",Guatemala,United Kingdom of Great Britain and Northern Ireland,AM0022 ver. 4,100000,2180
01/04/2009,"Municipal Solid Waste based Composting at Kolhapur, Maharashtra",India,United Kingdom of Great Britain and Northern Ireland,AMS-III.F. ver. 5,30430,2217
01/04/2009,"Valdivia biomass power plant",Chile,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 6/ ACM0006 ver. 5,107015,1787
01/04/2009,"Chutak Hydroelectric Project",India,,ACM0002 ver. 6,166831,2025
01/04/2009,"25MW Liangwan Hydropower Development Project",China,Switzerland/ Netherlands,ACM0002 ver. 6,70054,2131
01/04/2009,"Shaanxi Baiguoshu 13MW Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 12,39439,2179
02/04/2009,"YZICL 4.5MW Waste Heat Generation Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0004 ver. 2/ ACM0002 ver. 6,15795,1647
02/04/2009,"Methane extraction and energy generation project activity at Shirala, Maharasthra",India,,AMS-I.D. ver. 13/ AMS-III.H. ver. 9,16093,2399
03/04/2009,"Canela Wind Farm Project",Chile,Spain,ACM0002 ver. 6,27251,1958
03/04/2009,"Reduction of N2O emissions at ""Maxam-Chirchik"" plant",Uzbekistan,Japan,AM0034 ver. 2,353153,2308
06/04/2009,"ANAEROBIC DIGESTION SWINE WASTEWATER TREATMENT WITH ON-SITE POWER PROJECT (ADSW RP2001)",Philippines,United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 13/ AMS-I.D. ver. 12,2403,1951
06/04/2009,"Anhui Huainan Chemical N2O Abatement Project at Nitric Acid Plant Line4",China,Japan,AM0034 ver. 2,228334,2327
06/04/2009,"Wind Power Plant No.1 - Binh Thuan 30MW",Viet Nam,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 7,57988,2228
07/04/2009,"The Korea Hydro & Nuclear Power Co. Renewable Energy Project (3MW Yonggwang Photovoltaic Power + 0.75MW Kori Wind Power, Bundling Project)",Republic of Korea,,AMS-I.D. ver. 13,2680,2282
07/04/2009,"Gansu Zhouqu County Hujia’ai Hydropower Station Project",China,Japan,ACM0002 ver. 6,117901,1886
07/04/2009,"8.5 MW Wind Energy Project by KS Oils Limited, India",India,Switzerland,AMS-I.D. ver. 13,16670,2266
08/04/2009,"Sichuan Lutianhua N2O Abatement Project at nitric acid plant Line 1",China,Japan,AM0034 ver. 2,137491,2323
09/04/2009,"Ceran's 14 de Julho Hydro Power Plant CDM Project Activity",Brazil,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 6,245493,1829
09/04/2009,"13.95 MW grid connected wind electricity generation by SRF Limited ",India,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 13,34886,2365
10/04/2009,"Reduction of N2O emissions at “Ferganaazot” plant",Uzbekistan,Japan,AM0034 ver. 2,170925,2310
12/04/2009,"Amayo 40 MW Wind Power Project - Nicaragua",Nicaragua,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 7,120811,2315
12/04/2009,"Multi Nitro Indonesia Nitrous Oxide Abatement Project",Indonesia,United Kingdom of Great Britain and Northern Ireland,AM0034 ver. 2,80668,2328
Rejected,"Yichun xiaochengshan wind power Project",China,Austria,ACM0002 ver. 7,114606,2312
14/04/2009,"Guizhou Taijiang Yanzhai Hydropower Station",China,Switzerland/ Germany,ACM0002 ver. 6,69123,1953
14/04/2009,"Yunnan Dayao County Yupao River 3rd Level Hydropower Station",China,Germany,ACM0002 ver. 6,63150,2015
14/04/2009,"Generation of power from process waste heat at Hi-Tech Carbon, Tamil Nadu",India,,ACM0012,87305,1905
15/04/2009,"Siam Quality Starch Wastewater Treatment and Energy Generation Project in Chaiyaphum, Thailand",Thailand,Japan,AMS-I.C. ver. 12/ AM0013 ver. 4,98372,1993
15/04/2009,"Shilong Small-Scale Hydro Power Project",China,Sweden,AMS-I.D. ver. 13,43824,2256
15/04/2009,"Zhoujiayuan Hydropower Project in Hubei Province",China,Netherlands,ACM0002 ver. 6,168017,2212
16/04/2009,"Jinan Chemical Fertilizer Plant Co., Ltd. N2O Abatement Project (Plant 2)",China,Switzerland,AM0034 ver. 2,312301,2324
16/04/2009,"CGN Jilin Daan 49.5MW Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 6,116070,2083
16/04/2009,"Inner-Mongolia Ximeng Abag 49.5MW Wind Power Project",China,Netherlands/ Germany,ACM0002 ver. 6,126704,2135
17/04/2009,"Lanatan Agro-Industrial Inc. Methane Recovery and Electricity Generation Project",Philippines,United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 13,3227,2303
17/04/2009,"Kampot Cement Waste Heat Power Generation Project (KCC-WHG)",Cambodia,Denmark,AMS-III.Q. ver. 2,17107,2379
20/04/2009,"Coke Dry Quenching (CDQ) Waste Heat Recovery for Power Generation Project of Wugang No. 9 and 10 Coke Ovens",China,Italy,ACM0004 ver. 2,16738,1695
20/04/2009,"Yingpeng HFC23 Decomposition Project",China,France/ Italy/ Ireland/ United Kingdom of Great Britain and Northern Ireland,AM0001 ver. 5,7865277,1947
20/04/2009,"Rocky Farms, Inc. Methane Recovery and Electricity Generation Project",Philippines,United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 13,3201,2277
20/04/2009,"Guizhou Xingyi Laojiangdi Hydropower Station",China,Germany,ACM0002 ver. 6,333376,2065
20/04/2009,"Sichuan Lutianhua N2O Abatement Project at nitric acid plant Line 2",China,Japan,AM0034 ver. 2,192333,2321
21/04/2009,"Expansion Project of Sanjiangkou Hydro-electric Power Station in the reach of Supa River, Yunnan province, China",China,Netherlands,ACM0002 ver. 6,133805,2075
21/04/2009,"2*6MW Coke Oven Gas Power Generation Project in Xiangcheng County",China,Switzerland,ACM0004 ver. 2/ ACM0002 ver. 6,64558,1721
21/04/2009,"Installation of Wind power project by Kilburn Chemicals Ltd",India,,AMS-I.D. ver. 12,5200,1690
Withdrawn,"China Changtanghe Rundle Small Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 12,39980,2176
22/04/2009,"Tongren Tianshengqiao Hydropower Project, Guizhou Province, China",China,Switzerland,ACM0002 ver. 6,57582,2136
22/04/2009,"Jincheng Sihe Coal Mine CMM Generation Project",China,Netherlands/ Finland/ France/ Sweden/ Germany/ United Kingdom of Great Britain and Northern Ireland/ Japan/ Norway,ACM0008 ver. 3,3016714,1896
22/04/2009,"Erbaqu Small Hydropower Project in Gansu Province",China,Switzerland/ Netherlands/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 12,34133,2159
22/04/2009,"Energy efficiency measures in ""Technopolis"".",India,,AMS-II.E. ver. 8,8448,1794
22/04/2009,"Guangdong Huizhou LNG Power Generation Project",China,Netherlands,AM0029,1096728,1884
22/04/2009,"Jinan Chemical Fertilizer Plant Co., Ltd. N2O Abatement Project (Plant 1)",China,Switzerland,AM0034 ver. 2,242498,2320
22/04/2009,"Hubei Xuan’en Tongziying Hydropower Station",China,Netherlands,ACM0002 ver. 6,44987,2122
23/04/2009,"Shanxi Datuhe Coal Mine Methane Utilization Project",China,Netherlands/ France,ACM0008 ver. 3,321170,1801
Withdrawn,"The Blended Cement project utilizing the additives to decrease the clinker content in Shanxi Guashan Cement",China,Japan,ACM0005 ver. 4,72906,2226
27/04/2009,"Animal Manure Management System (AMMS) GHG Mitigation Project , Shandong Minhe Livestock Co. Ltd., Penglai, Shandong Province, P.R. of China",China,Canada/ Netherlands/ Italy/ Denmark/ Finland/ Austria/ Luxembourg/ Switzerland/ Sweden/ Germany/ Belgium/ Japan/ Norway/ Spain,ACM0010 ver. 2,66393,1891
28/04/2009,"Cao Phong Reforestation Project",Viet Nam,,AR-AMS0001 ver. 4,2665,2363
28/04/2009,"Mengzhushan 15 MW Small Hydropower Project in Shaanxi Province, China",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 12,57081,2137
28/04/2009,"Shunchang Yangkou Hydro Power Project, Fujian, China",China,Germany,ACM0002 ver. 6,140235,2008
28/04/2009,"Sichuan provincial Longchi & Caoyuan 9 MW Small-scale Hydro Power Bundle Project",China,Austria/ Netherlands,AMS-I.D. ver. 12,44773,2071
29/04/2009,"CGN Gansu Anxi Daliang 49.5MW Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 6,115595,2109
30/04/2009,"Jincheng Fengrun CMM Utilisation from Nine Mines in Jincheng City Shanxi Province China",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 6/ ACM0008 ver. 3,467251,1928
30/04/2009,"Shaanxi Xinghua N2O Abatement Project",China,Japan,AM0034 ver. 2,575316,2309
01/05/2009,"Fengguang 24.9MW Hydropower Project in Guangdong Province, China",China,Japan,ACM0002 ver. 6,107192,1817
01/05/2009,"Construction of additional cooling tower cells at AES Lal Pir (Pvt.) Limited. Muzaffar Garh, Pakistan. ",Pakistan,Netherlands,AMS-II.B. ver. 9,11179,2401
Withdrawn,"Energy Efficiency Measures at Desalination Plant in Chennai",India,Spain,AMS-II.D. ver. 11,16483,2411
Rejected,"Monjolinho Energética S.A.’s CDM Project",Brazil,,ACM0002 ver. 7,98262,2362
04/05/2009,"Flare Gas Recovery system (FGRS) at Barauni Refinery of Indian Oil Corporation Limited",India,,AMS-III.P.,11968,1597
Rejected,"Ningxia Yinchuan No. 1 Natural Gas Cogeneration Project",China,Japan,AM0029 ver. 2,49041,2373
04/05/2009,"Bionersis Project Peru 1",Peru,France,AMS-III.G. ver. 6,11864,2402
05/05/2009,"Avoidance of methane emissions from Municipal Solid Waste and Food Waste through Composting",India,Australia/ United Kingdom of Great Britain and Northern Ireland,AMS-III.F. ver. 5,23431,1904
06/05/2009,"Tianquan Xiacun Hydro Power Project",China,Netherlands,ACM0002 ver. 6,93031,2192
07/05/2009,"Jiangxi Taojiang Hydropower Project",China,Netherlands,ACM0002 ver. 6,71780,2039
07/05/2009,"Budhil Hydro Electric Project, India (BHEP)",India,,ACM0002 ver. 6,251513,1844
07/05/2009,"Casa Armando Guillermo Prieto - Wastewater treatment facility for a Mezcal distillery",Mexico,Switzerland,AMS-III.H. ver. 8/ AMS-I.C. ver. 12,15153,2333
07/05/2009,"Heilongjiang Chemical N2O Abatement Project",China,Japan,AM0034 ver. 2,279319,2314
08/05/2009,"Baishuiquan Hydropower Project, Guizhou Province, China",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 6,51972,2104
10/05/2009,"Yiyang Xiushan Hydropower Project, P.R. China",China,Germany,ACM0002 ver. 6,243043,1744
11/05/2009,"Ma Steel (new plant) CDQ and waste heat utilization project",China,United Kingdom of Great Britain and Northern Ireland,ACM0004 ver. 2/ ACM0002 ver. 6,176527,1726
11/05/2009,"Gansu Datonghe Tiecheng Hydropower Station Project",China,Japan,ACM0002 ver. 6,177335,2108
12/05/2009,"China Guangdong Shenzhen Qianwan LNG generation project",China,Japan,ACM0002 ver. 6/ AM0029,1035685,1915
12/05/2009,"Zuo XI Hydropower power plant",China,Switzerland,ACM0002 ver. 6,88050,2214
12/05/2009,"Sichuan Guohe 20MW Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 6,106951,2085
12/05/2009,"Inner Mongolia Baotou Bayin Wind Power Project",China,France,ACM0002 ver. 6,489949,2153
12/05/2009,"24 MW Perla Mini Hydel Project, Karnataka, India",India,,ACM0002 ver. 6,60816,2112
12/05/2009,"48 MW Duduluo River Hydroelectric Power Plant",China,Switzerland/ Netherlands,ACM0002 ver. 6,166393,2199
13/05/2009,"Zhongfang County Pailou Hydro Project, China",China,Austria,ACM0002 ver. 6,73926,2001
15/05/2009,"Taegisan Wind Power Project",Republic of Korea,Switzerland/ Japan,ACM0002 ver. 7,59669,2302
Withdrawn,"GHG emission reductions through waste gas based power generation at Visa Steel Limited",India,,ACM0012 ver. 2,341077,2369
16/05/2009,"Pingwu Huangyanghe Stage I Small Hydropower Project, P.R.China",China,Sweden/ Netherlands,AMS-I.D. ver. 13,33169,2177
Withdrawn,"Addition of a power generation micro unit at the 5 de Noviembre Power Plant  ",El Salvador,,AMS-I.D. ver. 13,1549,2425
18/05/2009,"Composting of solid biomass waste separated from the Palm Oil Mill Effluent (POME) through the use of AVC Sludge Dewatering System at Lian Hup Palm Oil Mill (Owned by Harn Len Corporation Bhd., Palm Oil Mill Division)",Malaysia,Germany,AMS-III.F. ver. 5,14778,2356
20/05/2009,"Biomass gasification based electricity generation by M/s Obeetee Private Limited (OPL) at Sant Ravidas Nagar district, Uttar Pradesh",India,,AMS-I.D. ver. 13,2724,2447
23/05/2009,"Jiangxi Duchang Jishanhu Wind Farm Project",China,Germany,ACM0002 ver. 7,62616,2396
23/05/2009,"Integrated Municipal Waste Processing Complex at Ghazipur, Delhi ",India,,AM0025 ver. 10,111949,2378
24/05/2009,"CGN Inner Mongolia Duerbote Wind farm Project",China,Switzerland/ Germany/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 7,120363,2406
25/05/2009,"FEDEPALMA SECTORAL CDM UMBRELLA PROJECT FOR METHANE CAPTURE, FOSSIL FUEL DISPLACEMENT AND COGENERATION OF RENEWABLE ENERGY",Colombia,,AM0013 ver. 4,757067,1942
25/05/2009,"Yunnan Tengchong Longchuan River Stage I Hydropower Plant, China",China,Sweden/ Netherlands/ Italy,ACM0002 ver. 7,94979,2376
26/05/2009,"Binglang River Tucang Hydropower station in Yunnan province, China",China,Netherlands,ACM0002 ver. 6,127343,2080
28/05/2009,"SF6 Switch at Ortal Diecasting 1993 Ltd.",Israel,United Kingdom of Great Britain and Northern Ireland,AM0065,11025,2394
29/05/2009,"Municipal Solid Waste (MSW) Composting Project in Urumqi, China",China,Germany,AM0025 ver. 10,16065,2374
Withdrawn,"Salto Small Hydro Power Plant Project – A Brascan Energética S/A Project Activity ",Brazil,,ACM0002 ver. 7,31128,2380
29/05/2009,"Yunnan Xinya River 3rd Level Hydropower Project",China,Sweden,AMS-I.D. ver. 13,33892,2429
Withdrawn,"Quimobásicos HFC Recovery and Destruction Project (plant 2)",Mexico,,AM0001 ver. 5,783182,2398
31/05/2009,"Federal Intertrade Hong-Ru River Solar Cooker Project",China,Switzerland/ Netherlands,AMS-I.C. ver. 12,35723,2311
Withdrawn,"Angelina Small Hydro Power Plant Project – A Brascan Energética S/A Project Activity.",Brazil,,ACM0002 ver. 7,40807,2393
Rejected,"Sichuan Liangtan Hydropower Station Second Phase Project",China,Sweden,ACM0002 ver. 8,82392,2410
Rejected,"Huadian Kulun 201MW Wind Farm Project",China,Sweden,ACM0002 ver. 7,523765,2100
03/06/2009,"1.725 MW Mini Hydel Scheme on Nagavali River, Andhra Pradesh, India",India,Switzerland,AMS-I.D. ver. 13,5559,1566
04/06/2009,"Jiangsu Rudong Biomass Power Generation Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0006 ver. 6/ ACM0002 ver. 7,143751,2230
04/06/2009,"LG Chem Naju plant fuel switching project",Republic of Korea,Japan,AMS-III.B. ver. 12,19635,2475
04/06/2009,"Co-composting with AVC POME Treatment System for Jugra Palm Oil Mill",Malaysia,Denmark,AMS-III.F. ver. 5,30763,2495
04/06/2009,"FELDA Trolak and Sampadi Composting Plants",Malaysia,United Kingdom of Great Britain and Northern Ireland,AMS-III.F. ver. 5,48086,2517
04/06/2009,"Guohua Binzhou Zhanhua 49.5MW Wind Farm Project (Phase 1)",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 7,104772,2438
05/06/2009,"Phu Mau hydropower project",Viet Nam,Switzerland,AMS-I.D. ver. 13,13634,2367
05/06/2009,"Muong Sang hydropower project",Viet Nam,Switzerland,AMS-I.D. ver. 13,5008,2371
05/06/2009,"Co-composting with AVC POME Treatment System for Haranky Palm Oil Mill",Malaysia,Denmark,AMS-III.F. ver. 5,25621,2494
05/06/2009,"Reforestation of severely degraded landmass in Khammam District of Andhra Pradesh, India under ITC Social Forestry Project",India,,AR-AM0001 ver. 2,57792,2241
Rejected,"73 MW Tonghua Iron & Steel Waste Gas and Heat Power Generation Project",China,Japan,ACM0012 ver. 2,324205,2304
08/06/2009,"14 MW Wind Power Project in Maharashtra",India,United Kingdom of Great Britain and Northern Ireland/ France,AMS-I.D. ver. 13,21094,2342
08/06/2009,"ADFEC 10 MW Solar Power Plant.",United Arab Emirates,,AMS-I.D. ver. 13,15017,2444
09/06/2009,"10 MW Bhavani Barrage-1 Small Hydroelectric Project for a Grid connected system, Tamil Nadu , India",India,,AMS-I.D. ver. 13,14140,2415
09/06/2009,"Perdigão Sustainable Swine Production 01 – Methane capture and combustion",Brazil,,AMS-III.D. ver. 13,55824,2249
10/06/2009,"12 MW Wind Power Project in Kutch, Gujarat",India,Switzerland/ Sweden,AMS-I.D. ver. 13,21699,2400
10/06/2009,"Sichuan Xiaohegou 12.6 MW Small-scale Hydro Power Project",China,Japan,AMS-I.D. ver. 13,51381,2463
11/06/2009,"CARBON SEQUESTRATION THROUGH REFORESTATION IN THE BOLIVIAN TROPICS BY SMALLHOLDERS OF “The Federación de Comunidades Agropecuarias de Rurrenabaque (FECAR)”",Bolivia,Belgium,AR-AMS0001 ver. 4,4341,2510
12/06/2009,"Factory energy efficiency improvement in compressed air demand in Mexico",Mexico,Japan,AMS-II.C. ver. 9,742,2485
12/06/2009,"Anaerobic digestion at Armenis Farm Ltd., Cyprus",Cyprus,Netherlands,AMS-III.D. ver. 13,10767,2334
12/06/2009,"2.5 MW Bundled Wind Power Project in Maharashtra (India)",India,,AMS-I.D. ver. 13,3946,2543
13/06/2009,"Yaoping 10 MW Small Hydropower Project in Shaanxi Province, China",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 12,30299,2090
13/06/2009,"Lijiang Wulanghe Secondary Hydropower Project",China,Japan,ACM0002 ver. 6,118069,2114
13/06/2009,"Fujian Shouning Xiadongxi 25MW Hydropower Project",China,Japan,ACM0002 ver. 6,70093,2156
13/06/2009,"Guohua Dongying Lijin 49.5 MW Wind Farm Project (Phase 1)",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 7,108800,2442
15/06/2009,"ANAEROBIC DIGESTION SWINE WASTEWATER TREATMENT WITH ON-SITE POWER PROJECT (ADSW RP2003)",Philippines,United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 13/ AMS-I.D. ver. 12,8063,1952
15/06/2009,"ANAEROBIC DIGESTION SWINE WASTEWATER TREATMENT WITH ON-SITE POWER PROJECT (ADSW RP2004)",Philippines,United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 13/ AMS-I.D. ver. 12,4395,1954
15/06/2009,"ANAEROBIC DIGESTION SWINE WASTEWATER TREATMENT WITH ON-SITE POWER PROJECT (ADSW) RP2006",Philippines,United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 13/ AMS-I.D. ver. 12,2773,1964
15/06/2009,"Anaerobic Digestion Swine Wastewater Treatment With On-Site Power Project (ADSW RP1002)",Philippines,United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 13/ AMS-I.D. ver. 12,6679,1971
15/06/2009,"Wuchang Natural Gas Generation Project",China,United Kingdom of Great Britain and Northern Ireland,AM0029,209918,1927
Rejected,"Inner Mongolia Keshiketeng County Wutaohai South Wind Farm 49.5 MW Project",China,Japan,ACM0002 ver. 7,151858,2420
15/06/2009,"Co-composting with AVC POME Treatment System for Ban Dung Palm Oil Mill",Malaysia,Denmark,AMS-III.F. ver. 5,25098,2493
15/06/2009,"SF6 Switch at Dead Sea Magnesium",Israel,United Kingdom of Great Britain and Northern Ireland,AM0065 ver. 2,273616,2414
16/06/2009,"10 MW Wind Power Project in Maharashtra by Deepak Fertilizers and Petrochemicals Corporation Limited",India,,AMS-I.D. ver. 13,14313,2540
16/06/2009,"Catalytic N2O Abatement Project in the tail gas of the Caprolactam production plant in Thailand",Thailand,Japan,AM0028 ver. 4,142402,2232
16/06/2009,"5.1 MW bundled Wind Power Project in Tirunelveli (Tamil Nadu)",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 13,11700,2370
17/06/2009,"Liaoning Landfill Gas Recovery and Utilization Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0001 ver. 9,63467,2424
17/06/2009,"ANAEROBIC DIGESTION SWINE WASTEWATER TREATMENT WITH ON-SITE POWER PROJECT",Philippines,United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 13/ AMS-I.D. ver. 12,2679,1959
17/06/2009,"Anaerobic Digestion Swine Wastewater Treatment With On-Site Power Project (ADSW RP1003)",Philippines,United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 13/ AMS-I.D. ver. 12,1802,1972
17/06/2009,"Siliping Small-Scale Hydro Power Project",China,Sweden,AMS-I.D. ver. 13,42872,2255
18/06/2009,"150 MW grid connected Wind Power based electricity generation project in Gujarat, India",India,Sweden/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 7,313755,2347
18/06/2009,"Sichuan Ya’an Shaping Hydropower Station Project",China,Netherlands/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 6,167556,2197
19/06/2009,"24.8 MW Wind power project by Belgaum Wind Farms Private Ltd. in Gadag, Karnataka",India,Switzerland/ Denmark/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 7,51985,1687
20/06/2009,"Anaerobic Digestion Swine Wastewater Treatment With On-Site Power Project (ADSW RP2008)",Philippines,United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 13/ AMS-I.D. ver. 12,1415,1970
20/06/2009,"Anaerobic Digestion Swine Wastewater Treatment With On-Site Power Project (ADSW RP1005)",Philippines,United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 13/ AMS-I.D. ver. 12,6779,1974
22/06/2009,"Surac Bagasse Plant Project",Morocco,United Kingdom of Great Britain and Northern Ireland,AMS-I.C. ver. 12,31653,2231
22/06/2009,"Upgradation, Operation and Maintenance of 200 TPD Composting facility at Okhla, Delhi",India,Germany,AMS-III.F. ver. 5,33461,2470
24/06/2009,"Abidjan Municipal Solid Waste-To-Energy Project",Côte d`Ivoire,Switzerland,AM0025 ver. 10,71760,2250
24/06/2009,"5 MW Sahu Hydro Electric Project for a grid connected system in Himachal Pradesh, India",India,,AMS-I.D. ver. 13,16457,1753
25/06/2009,"Taiyuan Xingou Landfill Gas Recovery and Utilization Project",China,Switzerland,AMS-I.C. ver. 13/ AMS-III.G. ver. 6,43419,2451
25/06/2009,"Taiyuan Shanzhuangtou Landfill Gas Recovery and Utilization Project",China,Switzerland,AMS-I.C. ver. 13/ AMS-III.G. ver. 6,38854,2452
25/06/2009,"Anaerobic Digestion Swine Wastewater Treatment With On-Site Power Project (ADSW RP1007)",Philippines,United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 13/ AMS-I.D. ver. 12,8144,1977
26/06/2009,"AWMS Methane Recovery Project, Ampuero Dairy Farm",Mexico,,AMS-III.D. ver. 13,8385,2337
Withdrawn,"Inno-Abedon - Palm Oil Mill Waste Recycle Scheme, Malaysia",Malaysia,United Kingdom of Great Britain and Northern Ireland,AM0039 ver. 2,50183,2270
26/06/2009,"Composting of solid biomass waste separated from the Palm Oil Mill Effluent (POME) through the use of AVC Sludge Dewatering System at Tong Len 2 Palm Oil Mill (Owned by QL Plantation Sdn. Bhd.)",Malaysia,United Kingdom of Great Britain and Northern Ireland,AMS-III.F. ver. 5,23204,2354
Rejected,"Controlled combustion of municipal solid waste (MSW) and energy generation in Linyi City, Shandong, China",China,Portugal,AM0025 ver. 10,83399,2419
Rejected,"Heilongjiang Yilan Hezuolinchang Phase II Wind Power Project",China,Switzerland,ACM0002 ver. 8,64098,2117
Rejected,"Heilongjiang Dongning Dajiazishan and Xidagang Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 7,130569,2361
Rejected,"Heilongjiang Yilan Jiguanlazishan Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 7,124856,2360
28/06/2009,"Jiangxi Luohongkou 8.25MW Hydropower Project, China",China,Japan,AMS-I.D. ver. 13,22097,2432
29/06/2009,"Anaerobic Digestion Swine Wastewater Treatment With On-Site Power Project (ADSW RP1004)",Philippines,United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 13/ AMS-I.D. ver. 12,12000,1973
29/06/2009,"Anaerobic Digestion Swine Wastewater Treatment With On-Site Power Project (ADSW RP1006)",Philippines,United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 13/ AMS-I.D. ver. 12,6442,1975
29/06/2009,"Anaerobic Digestion Swine Wastewater Treatment With On-Site Power Project (ADSW RP1008)",Philippines,United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 13/ AMS-I.D. ver. 12,2531,1979
29/06/2009,"Composting of solid biomass waste separated from the Palm Oil Mill Effluent (POME) through the use of AVC Sludge Dewatering System at Banting Palm Oil Mill Sdn. Bhd.",Malaysia,Germany,AMS-III.F. ver. 5,25434,2355
30/06/2009,"Nubika Jaya Biogas Extraction for Bio-Hydrogen Production",Indonesia,Japan,AMS-III.H. ver. 9/ AMS-III.O.,44181,2421
30/06/2009,"Thermal energy from biomass at Mohota Mills",India,,AMS-I.C. ver. 13,22445,2233
02/07/2009,"Conversion of SF6 to the alternative cover gas SO2 at RIMA magnesium production",Brazil,Netherlands/ Norway,AM0065 ver. 2,274715,2486
Rejected,"Waste Heat Recovery based Captive Power Project of Adhunik Metaliks Limited",India,,ACM0012 ver. 2,80065,2507
03/07/2009,"Forestal y Papelera Concepción Biomass Residues Cogeneration Plant in Chile",Chile,,ACM0006 ver. 6/ ACM0002 ver. 7,34191,2264
03/07/2009,"Nanshankou Cascade I 12 MW Hydropower Project in Geermu City of Qinghai Province,People’s Republic of China",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 13,52042,2409
03/07/2009,"Guohua Dongying Hekou 49.5 MW Wind Farm Project (Phase 1)",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 7,108012,2436
Rejected,"Bhushan Power and Steel Limited–Waste Heat Recovery based Captive Power Project",India,,ACM0012 ver. 2,333481,2519
04/07/2009,"Establishment of Compost Production Unit of 100 TPD at Lalganj",India,Germany,AMS-III.F. ver. 5,42050,2505
05/07/2009,"Gikoko Palembang – LFG Flaring Project",Indonesia,Sweden,ACM0001 ver. 8,49307,2525
